#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
247	511	廼	no	*nə̂ʔ	nəʔ	nậiʔ		nai	dai	---	nãi	nay	nəʔ
247	512	笶	no	*lhiʔ	śiʔ	śiʔ		si	si	thỉ, thẻ	thỉ	ci	śiʔ
247	513	荷	no	*ɡâiʔ	ɡɑiʔ	ɣâʔ		ga	ka	ha	hà, hạ, hả	ha	ɡɑiʔ
249	514	箆	no	bi	bi, bei	bi, biei		fai	fei	---	tì	pi	bi, bei
249	515	柔	nu	*nu	ńu	ńźjəu		niu	ziu	nhu	nhu	yu	ńu
249	516	蕤	nu	*nui	ńui	ńźwi		nui	zui	nhuy	nhuy	ywu	ńui
250	517	奴	nu	*nâ	nɑ	nuo		nu	do	nô, no, nó	nô	nwo	nɑ
251	518	怒	nu	*nah or *naʔ	nɑh, naʔ	nuoh, nuoʔ		nu	do	nủa, nọ	nộ	nwo	nɑh, naʔ
252	519	努	nu	*nâʔ	naʔ	nuoʔ		nu	do	nỗ	nỗ	nwo	naʔ
252	520	弩	nu	*nâʔ	naʔ	nuo		nu	do	nỗ, nỏ, ná	nỗ	nwo	naʔ
252	521	農	nu	*nûŋ	nouŋ	nouŋ	ndəwŋ	nou	dou	nông	nông	nwong	nouŋ
253	522	濃	nu	*nroŋ, nôŋ	ṇioŋ, noŋ	ṇjwoŋ, nuŋ		niu, nou	diou	nống	nông	nwong	ṇioŋ, noŋ
254	523	沼	nu	*tauʔ	tśauʔ	tśjäuʔ		seu	seu	trẽo	chiểu	sywo, cywo	tśauʔ
254	524	宿	nu	*suk or *sukh	siuk, siuh	sjuk, sjəh		suku	siuku	túc	túc, tú	sywuk, sywu	siuk, siuh
254	525	寐	nu	*mis	mis	mih		mi	bi	mị	mị	moy, mi	mis
255	526	渟	nu	*dêŋ	deŋ	dieŋ		diau	tei	dềnh	đình, đuềnh	tyeng	deŋ
255	527	潤	nuni	*nuns	ńuinh	ńźjwenh		nimu	ziun	nhuần	nhuận	ywun	ńuinh
255	528	奴	nwo	*nâ	nɑ	nuo		nu	do	nô, no, nó	nô	nwo	nɑ
256	529	努	nwo	*nâʔ	naʔ	nuoʔ		nu	do	nỗ	nỗ	nwo	naʔ
256	530	怒	nwo	*nah or *naʔ	nɑh, naʔ	nuoh, nuoʔ		nu	do	nủa, nọ	nộ	nwo	nɑh, naʔ
257	531	弩	nwo	*nâʔ	naʔ	nuo		nu	do	nỗ, nỏ, ná	nỗ	nwo	naʔ
258	532	O	nwo	laʔ	jaʔ	jiaʔ		ya	ya	dã	dã	ya	jaʔ
259	533	意	o	*ʔəkh	ʔɨəh	ʔɨ		i	i	ấy, ý	ý, ỳ	uy	ʔɨəh
260	534	於	o	*ʔa	ʔɨɑ	ʔɨa		o	yo	ư, ớ, ờ, ưa	ư	e	ʔɨɑ
261	535	飫	o	*ʔa	ʔɨɑ	ʔɨa		o	yo	ứ, ứa	ứ	e	ʔɨɑ
261	536		o	*ʔah	ʔɨɑh	jɨa		o	yo	ứ	ứ	e	ʔɨɑh
262	537	憶	o	*ʔək	ʔɨək			oku	yoku	ức, EMC: ʔik	ức	uk, ek	ʔɨək
262	538	應	o	*ʔəŋh	ʔɨŋh	ʔiŋ		ou, omu	you	ưng, ứng	ưng, ứng	ung	ʔɨŋh
263	539	隠	o	*ʔənʔ	ʔɨnʔ	ʔɨn		omu	in	ẩn, ổn	ấn, ẩn	un	ʔɨnʔ
263	540	音	omi	*ʔəm	ʔɨm	ʔim		omu	in	âm	âm	um	ʔɨm
263	541	磤	ono	---	---	---		on	in	---	---	un	---
263	542	邑	opa, opo	*ʔəp	ʔip	ʔip		ofu	ifu	ấp, ọp	ấp	up	ʔip
264	543	P	oto, o	*ʔrət	ʔɨt	ʔit		oti	itu	ất, hắt	ất	ul	ʔɨt
265	544	巴	pa	*prâ	pa	pa		fa	fa	ba, bơ	ba	pha	pa
265	545	伴	pa	*phâns	phanh	phwânh		ban	fan	bạn, bọn	bạn	pan	phanh
266	546	半	pa, pani	*pâns	panh	pwânh		famu	fan	bán	bán	pan	panh
266	547	叵	pa	---	---	pha		fa	fa	---	phả	pha	---
267	548	波	pa	*pâi	pɑi	pwâ		fa	fa	ba	ba	pha	pɑi
268	549	播	pa	*pâih	pɑih	pwâh		fa	fan	vá, bệ	bá	pha	pɑih
269	550	幡	pa	*phan	phuɑn	phjwɐn		famu	fan	phan	phan, phiên	pen	phuɑn
270	551	破	pa	*phâih	phɑih	phwâh		fa	fa	phá, vỡ	phá	pha	phɑih
270	552	方	pa	*paŋ	puɑŋ	pjwaŋ		fau	fau	phương, vuông	phương	pang	puɑŋ
271	553	防	pa	*baŋ	buɑŋ	bjwaŋ		bau	fau	phòng	phòng	pang	buɑŋ
271	554	芳	pa	*phaŋ	phuɑŋ	phjwaŋ		fau	fau	---	phương	pang	phuɑŋ
271	555	八	pa, pati	*prêt	pɛt	păt		fati	fatu	bát	bát	phal	pɛt
271	556	判	pa	*phâns	phanh	phwânh		fan	fan	phán	phán	phan	phanh
272	557	胖	pa	*phâns	phanh	phwânh		fan	fan	phán	phán	phan	phanh
272	558	簸	pa	*pâih or *pâiʔ	pɑih, paiʔ	pwâh	pua	fa	fa	---	bả, phả	pha	pɑih, paiʔ
272	559	泮	pa	*phans	phɑnh	phwânh	phuan	fan	fan	bận, bợn	phán	pan	phɑnh
272	560	絆	pa	*pâns	panh	phwân	phuan	fan	fan	bận	bán	pan	panh
273	561	婆	pa	*bâi	bɑi	bwâ	pɦua	ba	fa	bà	ba, bà	pha	bɑi
273	562	房	pa	*baŋ	buaŋ	bjwaŋ	fɦaŋ	bau	fau	buồng, phóng	phóng	phang	buaŋ
273	563	薄	pa	*phâk	phak	phâk	pɦak	baku	faku	bạc	bạc	pak	phak
274	564	泊	pa	*bâk	bak	bâk	pɦak	baku	faku	bạc	bạc	pak	bak
274	565	盤	pa	*bân	ban	bwân	pɦuan	bamu	fan	bàn, mâm	bàn	pan	ban
274	566	皤	pa	*bai	bɑi	ba		ba	fa	---	bà	pen	bɑi
275	567	羽	pa	*waʔ	*waʔ	wua		u	u	vũ, võ	vũ	wu	*waʔ
275	568	齒	pa	*k-hjəʔ	tśhəʔ	tśhɨʔ		si	si	xỉ	xỉ	chi	tśhəʔ
276	569	葉	pa	*lap or *lep	jap	jiäp		efu	efu	diệp, giấp, xẹp	diệp	yep	jap
276	570	者	pa	*taʔ	tśaʔ	tśjaʔ		sia	sia	giả	giả	cya	tśaʔ
276	571	博	paka	*pâk	pak	pâk		faku	faku	bác, bạc	bác	pak	pak
277	572	伯	paka	*prâk	pak	pɐk	pa:jk	fiyaku	faku	bác, bạc	bác	pak	pak
277	573	法	papu	*pap	puap	pjwɐp	fa:p	fofu	fafu	phắp, phép	pháp	phep	puap
277	574	閉	pe	*pît(s)	pes, pet	pieih, piet		fei	fei	bế, bé, bấy	bế	phyey, pyel	pes, pet
278	575	閇	pe	*pît(s)	pes, pet	pieih, piet		fei	fei	bế, bé, bấy	bế	phyey, pyel	pes, pet
278	576	拜	pe	*prêts	pɛs	păih		fai	fai	bái	bái	poy	pɛs
278	577	倍	pe	*bə̂ʔ	bəʔ	bwậiʔ	pɦuaj	bai	fai	bội, vội	bội	poy, phay	bəʔ
280	578	陪	pe	*bə̂	bə	bwậi	pɦuaj	bai	fai	bồi	bồi	poy	bə
280	579	背	pe	*b̂kh	bəh	bwậi	pɦuaj	bai	fai	bối, bội	bối	poy, phay	bəh
280	580	杯	pe	*pə̂	pə	pwậi	puaj	fai	fai	bôi	bôi	poy	pə
280	581	俳	pe	*br̂i	bɛi	băi	pɦa:j	bai	fai	bài, vài	bài	poy	bɛi
281	582	沛	pe	*pâts	pɑs	pwâih	phuaj	fai	fai	phai, phảy, phới	phái, bái	phay	pɑs
281	583	珮	pe	*bêh	bəh	bwậi	pɦuaj	bai	fai	---	bội	phay	bəh
281	584	戸	pe	*ɡâʔ	ɡɑʔ > ɡɔ	ɣuoʔ		go	ko	hộ, họ, hụ	hộ	hwo	ɡɑʔ > ɡɔ
282	585	綜	pe	*tsûŋh	tsouŋh	tsuoŋh		so	sou	---	tộng, tống	cong	tsouŋh
282	586	經	pe	*kêŋ	keŋ	kɛjŋ		kiau	kei	kinh	kinh	kyeng	keŋ
282	587	甕	pe	*ʔôŋh	ʔoŋh	ʔuŋh		u	wou	ống, SV: ống, ung, úng, ủng		wong	ʔoŋh
282	588	缻	pe	---	---	kwan		kuwan	kuwan	quán	quán	kwan	---
282	589	卑	pi	*pe	pie	pjie		fi	fi	ti, te	ti	pi	pie
283	590	比	pi	*piʔ	piʔ	piʔ		bi	fi	tỉ	tỉ, tí	pi	piʔ
284	591	必	pi	*pit	pit	pjiet		fiti	fitu	tất	tất	phil	pit
284	592	賓	pi	*pin	pin	pjien		fimu	fin	tân	tân	pin	pin
286	593	臂	pi	*pekh	pieh	pjieh	pji	fi	fi	---	tí	pi	pieh
286	594	避	pi	*bekh	bieh	bjieh	pɦji	bi	fi	tị	tị	phi	bieh
287	595	毘	pi	*bi	bi	bi	pɦji	bi	fi	---	tì, bì	pi	bi
288	596	譬	pi	*phekh	phieh	phjieh	phji	fi	fi	ví, thí	thí, tỉ, tỷ	pi	phieh
288	597	嬪	pi	*bin	bin	bjien	pɦjin	bin	fin	---	tần	pin	bin
288	598	日	pi	*nit	ńit	ɲit		niti	zitu	nhật	nhật, nhựt	il	ńit
289	599	檜	pi	*kôt or *kôts	kuɑs or kuat	kwâih or kwât		kuwe	kuwai	củi, cội	quái, cối	hwoy	kuɑs or kuat
289	600	氷	pi	*prəŋ	pɨŋ	pjəŋ		fiyou	fiyou	băng, bông	băng	ping	pɨŋ
289	601	富	po	*pəkh	puh	pjəuh		fu	fuu	phú	phú	pwu	puh
290	602	費	po	*phəts	phus	phjweih		fi	fi	bí, phí, phía	phí, phị, phi	pi	phus
291	603	番	po	*phan	phuɑn	phjwɐn		fon	fan	phen, phiên	phiên	pan, pen	phuɑn
291	604	蕃	po	*pan	puɑn	pjwɐn		fon	fan	phen, phồn	phiên, phiền, phồn	pen	puɑn
291	605	方	po	*paŋ	puaŋ	pjwaŋ		fau	fau	phương, vuông	phương	pang	puaŋ
292	606	朋	po	*bə̂ŋ	bəŋ	bəŋ	pɦuəŋ	bou	fou	bằng	bằng	pung	bəŋ
292	607	倍	po	*b̂ʔ	bəʔ	bwậiʔ	pɦuaj	bai	fai	bội, vội	bội	poy, phay	bəʔ
293	608	陪	po	*bə̂	bə	bwậi	pɦuaj	bai	fai	bồi	bồi	poy	bə
293	609	裒	po	*bû	po	bəu	pɦəw	bou	fou	bâu, bầu, biệu	biều	phwu	po
294	610	袍	po	*bhu	bou	baw	pɦuaw	bou	fou	bào	bào	phwo	bou
294	611	火	po	hm̂iʔ	huɑiʔ	xuâ		kuwa	kuwa	hoả	hoả	hwa	huɑiʔ
294	612	焰	po	*s-lam or *s-ləm	ziam, zim	zjäm, zjəm		emu	emu	dim	diễm, riệm	yem	ziam, zim
295	613	帆	po	*bam	buam	bjwɐm		bomu	famu	buồm	phàm	pem	buam
295	614	品	pomu	*phrəmʔ	phimʔ	phjəmʔ		fomu	fimu	phẩm	phẩm	phum	phimʔ
295	615	法	popo	*pap	puap	pjwɐp		fofu	fafu	phắp, phép	pháp	pep	puap
296	616	不	pu	*pə or *pəʔ	pu, puʔ	pjəu, pjəuʔ		fu	fuu	bất	bất	pu, pul	pu, puʔ
296	617	夫	pu	*ba or *pa	buɑ, puɑ	bju, pju		bu	fu	phu	phù	pwu	buɑ, puɑ
297	618	服	pu	*bə or *bək	buʔ, buk	bjəuʔ, bjuk		buku	fuku	phục	phục	pok	buʔ, buk
297	619	布	pu	*pâh	pɑh	puoh		fu	fo	bố	bố, bá	phwo	pɑh
298	620	甫	pu	*paʔ	puɑʔ	pjuʔ		fu	fo	phủ	phủ	pwo	puɑʔ
299	621	賦	pu	*pah	puɑh	pjuh		fu	fu	phú	phú	phwo	puɑh
299	622	福	pu, puki, puku	*pək	puk	pjuk		fuku	fuku	phúc	phúc, phước	pwok	puk
299	623	否	pu	*pəʔ	puəʔ > puʔ	pjəuʔ		fu	fuu	bĩ	phủ	pwu, pi	puəʔ > puʔ
300	624	敷	pu	*pha	phuɑ	phju	fuə	fu	fu	phô	phu	pwu	phuɑ
300	625	府	pu	*poʔ	puoʔ	pjuʔ	fuə	fu	fu	phủ	phủ	pwu	puoʔ
301	626	赴	pu	*phokh	phuoh	phjuh	fuə	fu	fu	---	phó, thú	pwu	phuoh
301	627	富	pu	*pəkh	puh	pjəuh	fuw	fu	fu	phú	phú	pwu	puh
301	628	負	pu	*bəʔ	buəʔ > buʔ	bjəuʔ	fɦuw	bu	fu	phụ	phụ	pwu	buəʔ > buʔ
301	629	符	pu	*bo	buo	bju	fɦuə	bu	fu	phù, bùa	phù	pwu	buo
302	630	浮	pu	*bu	bu	bjəu	fɦuw	bu	fu	phù	phù	pwu	bu
302	631	輔	pu	*baʔ	buɑʔ	bjuʔ	fɦuə	bu	fu	---	phụ	pwo	buɑʔ
303	632	経	pu	*kêŋ or *kêŋh	keŋ, keŋh	kieŋ, kieŋh		kiyau	kei	kinh	kinh	kyeng	keŋ, keŋh
303	633	歴	pu	*rêk	lek	liek		riyaku	reki	lịch, lệch, rếch	lịch	lyek	lek
304	634	乾	pu	*kân or *ɡan	kɑn, ɡɨan	kân, ɡjän		kemu	gamu	càn, gàn	can, kiền	kan, ken	kɑn, ɡɨan
304	635	鳳	puge	*bəms	buəmh	bjuŋ	fɦuwŋ	buu	fou	phượng	phượng, phụng	pwong	buəmh
304	636	粉	puni	*pənʔ	punʔ	pjwənʔ		fun	fun	phân, phấn	phấn	pwun	punʔ
304	637	弗	puti, putu	*pət	put	pjwət		futi	futu	phất	phất	pwul	put
305	638	皮	pwi	bai	bɨɑi > bɨe	bje		bi	fi	bì, bề, bìa, vừa	bì	phi	bɨɑi > bɨe
305	639	非	pwi	pəi	pui	pjwei		fi	fi	phi	phi	phi	pui
306	640	斐	pwi	phəiʔ	phuiʔ	phjweiʔ		fi	fi	phỉ	phỉ	phi	phuiʔ
306	641	肥	pwi	bəi	bui	bjwei		bi	fi	phì, phề, phè	phì	pi	bui
307	642	飛	pwi	pəi	phui	phjwəi		fi	fi	phi	phi	pi	phui
307	643	悲	pwi	prəi	pɨ	pji	pi	fi	fi	bi, bây	bi	pi	pɨ
307	644	彼	pwi	paiʔ	pɨɑiʔ	pjeʔ	pi	fi	fi	bỉ, bẽ, bở	bỉ	phi	pɨɑiʔ
308	645	祕	pwi	pits	pɨs	pjih	pi	fi	fi	bí	bí	pi	pɨs
308	646	妃	pwi	phəi	phui	phjwəI	fji	fi	fi	phi	phi	pi, poy	phui
308	647	被	pwi	*phai	phɨɑi	phje~bjeh	pi~pɦi	bi	pi	bị, bự	bị	phi	phɨɑi
308	648	火	pwi	hm̂iʔ	huɑiʔ	xuâ		kuwa	kuwa	hoả	hoả	hwa	huɑiʔ
309	649	樋	pwi	---	---	---		tuu	tou	thông	---	---	---
309	650	乾	pwi	*kân or *ɡan	kɑn, ɡɨan	kân, ɡjän		kemu	gamu	càn, gàn	can, kiền	kan, ken	kɑn, ɡɨan
309	651	干	pwi	*kân	kɑn	kân		kamu	kan	can	can	kan	kɑn
310	652	簸	pwi	*pâih or *pâiʔ	pɑih, paiʔ	pwâh, pwâʔ		fa	fa	---	bả, phả	pha	pɑih, paiʔ
310	653	熯	pwi	*hânʔ	hɑnʔ	xânʔ		kan	kan	---	hãn	han	hɑnʔ
310	654	菩	pwo	---	bo	bəu		bo	fo	bồ	bồ	pwo	bo
311	655	本	pwo	*p̂nʔ	pənʔ	pwənʔ		fomu	fon	bản, bổn, vốn	bản, bổn	pwon	pənʔ
311	656	布	pwo	*pâh	pɑh	puoh		fu	fo	bố	bố, bá	phwo	pɑh
311	657	保	pwo	*pûʔ	pouʔ	pâuʔ		fo, fou	fou	bảo, bầu	bảo	pwo	pouʔ
312	658	寶	pwo > po	*pûʔ	pouʔ	pâuʔ		fou	fo	bảo	báo	pwo	pouʔ
313	659	譜	pwo > po	---	---	puo	puə	fu	fo	phả, phổ	phổ	pwo	---
313	660	報	pwo	*pûh	pouh	pâuh	puaw	fou	fou	báo	báo	pwo	pouh
313	661	褒	pwo	*pû	pou	pâu	puaw	fou	fou	bao	bao	phwo	pou
313	662	防	pwo	*baŋ	buɑŋ	bjwaŋ	fɦaŋ	bau	fau	---	phòng	pang	buɑŋ
314	663	抱	pwo	*bûʔ	bouʔ	bâuʔ	pɦuaw	bou	fou	bão	bão	pwo	bouʔ
314	664	袍	pwo	*bû	bou	bâu	pɦuaw	bou	fou	bào	bào	pwo	bou
314	665	穗	pwo > po	*s-wis	zuis	zwih		zui	sui	---	huệ, tuệ	pwo	zuis
315	666	百	pwo > po	*prâk	pak	pɐk		fiyaku	faku	bách	bá, bách	poyk	pak
315	667	福	pwo, pwoki	*pək	puk	pjuk		fuku	fuku	phúc	phúc, phước	phwok	puk
315	668	凡	pwo, pwomu	*bam	buam	bjwɐm		bomu	famu	phàm	phàm	pwo	buam
316	669	俾	pye	*peʔ	pieʔ	pjieʔ		fi	fi	---	tỉ	pi	pieʔ
316	670	邊	pye	*pên	pen	pien		femu	fen	biên, bên, ven	biên	pen	pen
317	671	反	pye	*panʔ	puanʔ	pjwɐnʔ		fomu, femu	fan	phản	phản, phan, phiên	pen	puanʔ
317	672	返	pye	*panʔ	puanʔ	pjwɐnʔ		femu	fan	phản	phản	pan	puanʔ
317	673	遍	pye, pyeni	*pêns	penh	pienh		femu	fen	biến	biẽn	pyen	penh
318	674	辧	pye	*brans	bɨanh	bjwänh	pɦian	bemu	fen	biện	biền	pyen, pan	bɨanh
318	675	平	pye	*breŋ	bɨɛŋ	bjɐŋ	pɦiajŋ	biyau	pen, pei	bình, bằng	bình	phyen, phyeng	bɨɛŋ
318	676	覇	pye	*prâkh or *phrâk	pah, phak	pah, phɐk	pɛ: GO: fa, fiyaku		fa, faku	---	bá	pha, poyk	pah, phak
319	677	敝	pye	*bets or *bes	bias	bjiäih	pɦjiaj	bei	fei	tệ	tế, tệ	phyey	bias
319	678	弊	pye	*bets	bias	bjiäih	pɦjiaj	bei	fei	tệ	tế, tệ	phyey	bias
320	679	幣	pye	*bets	bias	bjiäih	pɦjiaj	bei	fei	giẽ	tế, tệ	phyey	bias
320	680	蔽	pye	*pets	pias	pjiäi	pjiaj	feti, futi	fetu, futu	---	tế	phyey	pias
320	681	陛	pye	*bî	beiʔ	bieiʔ	pɦjiaj	fei	fei	bệ	bệ	phyey	beiʔ
321	682	鼙	pye	*bê	be	biei	pɦiaj	bai	fei	---	bề	pi	be
321	683	鞞	pye	*peʔ	pieʔ	pjieʔ	pji	fai	fei	---	tỳ	pi	pieʔ
321	684	部	pye	*bôʔ	boʔ	bəuʔ		bu		bộ, bõ	bộ	pwu	boʔ
321	685	重	pye	*droŋʔ or *droŋ	ɖioŋʔ, ɖioŋ	ɖjwoŋʔ, ɖjwoŋ		diu	diou	trộng, chùng	trọng, trùng	cyung	ɖioŋʔ, ɖioŋ
322	686	隔	pye	*krêk	kɛk	kɛk		kiyaku	kaku	cách	cách	kyek	kɛk
322	687	伯	pyeki	*prak	pak	pɐk		fiyaku	faku	bá	bách	pha, poyk	pak
322	688	R	pyeni	*phen	phian	phjiän		fen	fen	thiên	biển	phyen	phian
323	689	羅	ra	*râi	lai > la	lâ		ra	ra	la, là	la	la	lai > la
325	690	邏	ra	*râi	lɑi > lɑ	la		ra	ra	lạ	lá	la	lɑi > lɑ
326	691	良	ra, ragi	*raŋ	liaŋ	ljaŋ		rau	riyau	lương	lương	lyang	liaŋ
327	692	浪	ra	*râŋ	laŋ	lâŋ		rau	rau	lảng, lãng	lang, lãng	lang	laŋ
327	693	郎	ra	*râŋ	laŋ	lâŋ		rau	rau	lang, sang	lang	lang	laŋ
328	694	廊	ra	*râŋ	laŋ	lâŋ		rau	rau	lang, làng, láng	lang, làng	lang	laŋ
328	695	莨	ra	*râŋ	lɑŋ	laŋ		rau	rau	---	lương	lang	lɑŋ
328	696	囉	ra	*râi	lɑi > lɑ	la		ra	ra	la, ra	la	la	lɑi > lɑ
328	697	攞	ra	*râi	lɑi > lɑ	la		ra	ra	rà	---	la	lɑi > lɑ
328	698		ra	---	---	la		ra	ra	---	la	la	---
329	699		ra	---	---	la		ra	ra	---	la	la	---
329	700	樂	ra, raka, raki, raku	*râuk	lak	lâk		raku	raku	lạc	lạc	lak	lak
330	701	落	raku	*râk	lak	lâk		raku	raku	lạc	lạc	lak	lak
330	702	覽	ramu	*râmʔ	lamʔ	lâm		ramu	ramu	lãm	lãm	lam	lamʔ
330	703	藍	ramu	*râm	lam	lâm		ramu	ramu	lam, chàm, xám	lam	lam	lam
331	704	濫	ramu	*râms	lamh	lâmh		ramu	ramu	làm, rộm, trộm	lạm	lam	lamh
331	705	臘	rapu	*râp	lap	lâp		rafu	rafu	chap	lạp, chạp	lap	lap
331	706	例	re	*rats	lias > liah	ljäih		re	rei	lệ, lề	lệ	lyey	lias > liah
332	707	禮	re	*rîʔ	leiʔ	lieiʔ		rai	rei	lãi, rẽ, rảy, trễ	lễ	lyey	leiʔ
333	708	連	re	*ranʔ or *renʔ	lianʔ	ljänʔ		remu	ren	liên, liền, len	liên	lyen	lianʔ
333	709	列	re	*rat	liat	ljät		reti	retu	liệt, rệt	liệt	lyel	liat
334	710	烈	re	*rat	liat	ljät		reti	retu	lét, lẹt, lướt	liệt	lyel	liat
334	711	戻	re	*rît, rîts	let, les	liet, lieih	liaj	rai	rei	---	lệ	lye	let, les
334	712	黎	re	*rî	lei	lɛj	liaj	rai	rei	lê	lê	lye	lei
335	713	廉	remu	*rem	liam	ljäm		remu	remu	lèm, lim	liêm	lyem	liam
335	714	利	ri	*rih	lih	lih		ri	ri	lì, lời, lợi	lợi, lị	li	lih
336	715	離	ri	*rai	liai	lje		ri	ri	li, lì, lia, lìa, le, SV: li, ly, lị		li	liai
337	716	理	ri, rowi	*rəʔ	liəʔ	ljɨʔ		ri	ri	lí, lý	lí, lý	li	liəʔ
338	717	里	ri	*rəʔ	liəʔ > ljɨʔ	ljɨʔ		ri	ri	lịa, lẽ	lí, lý	li	liəʔ > ljɨʔ
338	718	隣	ri	*rin	lin	ljen		rimu	rin	lân	lân	lin	lin
339	719	唎	ri	---	---	li	li	ri	ri	lời	---	li	---
339	720	梨	ri	*ri	li	li	li	ri	ri	lê	lê	li	li
339	721	釐	ri	*rə	liə	ljɨ	liaj	ri	ri	li	ly, li	li	liə
340	722	慮	ro	*rah	liɑh	ljwoh	lyə	ro	riyo	lự	lự	lye	liɑh
340	723	里	ro	*rəʔ	liəʔ	lɨəʔ		ri	ri	lịa	lí, lý	li	liəʔ
341	724	呂	ro	*raʔ	liɑʔ	ljwoʔ		ro	riyo	lữa	lữ, lã	lye	liɑʔ
342	725	侶	ro	*raʔ	liɑʔ	ljwoʔ		ro	riyo	lứa	lư, lô	lye	liɑʔ
342	726	閭	ro	*ra	lia	ljwo		ro	riyo	lơ, lừ	lư	lye	lia
342	727	勒	ro	*rə̂k	lək	lək		roku	roku	lắc, lấc	lặc	luk	lək
342	728	廬	ro	*ra	liɑ	ljwo	liə	ro	riyo	lư	lư, lô	lye	liɑ
343	729	稜	ro	*rəŋ	lɨŋ	ljəŋ		rou	riyou	---	lăng	lung	lɨŋ
343	730	綾	rogi	*rəŋ	lɨŋ	ljəŋ		rou	riyou	trăng	lăng	lung	lɨŋ
343	731	流	ru	*ru or *riu	liu	ljəu		ru	riu	lưu	lưu	lywu	liu
344	732	留	ru	*ru	liu	ljəu		ru	riu	lưu	lưu	lywu	liu
346	733	琉	ru	---	---	luw		ru	riu	lưu	lưu	lywu	---
346	734	瑠	ru	---	---	luw		ru	riu	lưu	lưu	lywu	---
346	735	屢	ru	*roh	lioh	ljuh	lyə	ru	ru	lú, lũ	lũ	lwu	lioh
346	736	漏	ru	*rôh	loh	ləuh	ləw	ru	rou	lạu, làu, lậu	lâu	lwu	loh
347	737	樓	ru	*rô	lo	ləu	lyə	rou	ru	lầu, lâu	lâu	lwu	lo
347	738	婁	ru	*roʔ or *rô	lioʔ, lo	lju, ləu	lyə	rou	ru	lâu	lâu	lwu	lioʔ, lo
347	739	蘆	ru	*ra	lia	ljwo		ro	ru	lau, lứ	lô	lye	lia
347	740	盧	ru	*râ	la > lɔ	luo		ro	ru	lu, lo	lô	lwo	la > lɔ
348	741	類	ru	*rus	luis	ljwih	luaj	rui	rui	loại, loài	loại	lywu	luis
348	742	路	rwo	*râkh	lah > lɔh	luoh		ro	ro	trò, lần	lộ	lwo	lah > lɔh
349	743	盧	rwo	*râ	la > lɔ	luo		ro	ru	lu, lo	lô	lwo	la > lɔ
349	744	鹵	rwo	*râʔ	lɑʔ > lɔʔ	luoʔ		ru	ro	lỗ	lỗ	lwo	lɑʔ > lɔʔ
350	745	魯	rwo	*râʔ	lɑʔ > lɔʔ	luoʔ		ru	ro	lỗ, lõ, sỗ	lỗ	lwo	lɑʔ > lɔʔ
350	746	婁	rwo	*roʔ or *rô	lioʔ, lo	lju, ləu		ro	rou	lâu	lâu	lwu	lioʔ, lo
350	747	漏	rwo	*rôh	loh	ləuh		ro	rou	lạu, làu, lậu	lâu	lwu	loh
351	748	樓	rwo	*rô	lo	ləu	lyə	ro	ru	lầu, lâu	lâu	lwu	lo
352	749	露	rwo	*râkh	lah > lɔh	luoh		ro	ro	lộ, lồ, rò	lộ	lwo	lah > lɔh
352	750	S	rwoku	*ruk	liuk	ljuk		roku	riku	lục	lục	lwuk	liuk
353	751	沙	sa	*srâi	s	s		sa, sia	sa	sa, sà	sa	sa	s
354	752	佐	sa	*tsâih	tsɑiʔ	tsâʔ		sa	sa	tá	tá	ca	tsɑiʔ
355	753	左	sa	*tsâiʔ	tsaiʔ	tsâʔ		sa	sa	tả	tả, tá	ca	tsaiʔ
356	754	差	sa	*tshrâi	tshai	tsha		sa, sia, sai	sa	sai, sây	sa, sai, si, soa	cha, chi, chay, choy	tshai
356	755	娑	sa	*sâi	sai	sâ		sa	sia	sa	ta, tả, toa	sa	sai
356	756	柴	sa	*dzrê	dʑɛ	dʑaɨ		zia	sai	sài, sầy, thày	sài, sái	si	dʑɛ
357	757	舎	sa	*lhaʔ or *lhah	śaʔ or śah	sjaʔ or sjah		sia	sia	xá	sá, xá, xả	sya	śaʔ or śah
357	758	作	sa, saka, saku	*tsâk	tsɑk	tsâk		saku, sa	saku	tác	tảc, tố	cak	tsɑk
358	759	者	sa	*tâ	tśaʔ	tśjaʔ		sia	sia	giả	giả	ca	tśaʔ
359	760	紗	sa	---	---	saɨ		sa	sa	sa	sa	sa	---
359	761	草	sa	*tshûʔ	tshouʔ	tshâuʔ		sau	sau	thảo, thau	thảo	chwo	tshouʔ
359	762	瑳	sa	*tshâiʔ	tshɑiʔ	tshâʔ	tsha	sa	sa	---	tha, thả, thá	cha	tshɑiʔ
360	763	磋	sa	*tshâi	tshɑi	tshâ	tsha	sa	sa	tha	tha	cha	tshɑi
360	764	狹	sa	*ɡrêp	ɡɛp	ɣăp		gefu	kafu	hẹp	hiệp	hyep	ɡɛp
361	765	猿	sa	*wan	wan	jwɐn		won	wen	vượn	viên	wen	wan
361	766	羅	sa	*râi	lai	lâ		ra	ra	la, là	la	la	lai
361	767	相	saga, sagu	*saŋ or *saŋh	siaŋ or siaŋh	sjaŋ or sjaŋh		sau	siau	tướng, tương	tướng	syang	siaŋ or siaŋh
361	768	倉	sagu	*tshâŋ	tshaŋ	tshâŋ		sau	sau	thương	thảng, thương	chang	tshaŋ
